home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly_0,is_friendly_1
Tahiti,Cook Islands,0,-26.0,8.0,8.0,-8.0,-8.0,0.041699500919359075,26.0,26.0,0.015957446808510637,0.015957446808510637,0,1
Bangladesh,Afghanistan,1,32.0,0.0,0.0,0.0,0.0,0.0,-32.0,-32.0,0.0010784214605870663,0.0010784214605870663,0,1
Guatemala,Panama,1,62.0,-1.0,-1.0,-1.0,-1.0,-0.011109372555155688,-6.0,-6.0,-0.009815464389202378,-0.009815464389202378,1,0
El Salvador,Trinidad and Tobago,1,-27.0,-1.0,-1.0,2.0,2.0,-0.011363636363636364,19.0,19.0,-0.03409090909090909,-0.03409090909090909,1,0
Republic of Ireland,Netherlands,1,46.0,-3.0,-3.0,2.0,2.0,-0.06,-48.0,-48.0,-0.06,-0.06,1,0
Greece,Gibraltar,0,-148.0,0.0,0.0,2.0,2.0,0.0,-164.0,-164.0,0.0,0.0,1,0
Faroe Islands,Moldova,1,-35.0,-1.0,-1.0,1.0,1.0,-0.034482758620689655,-3.0,-3.0,-0.034482758620689655,-0.034482758620689655,1,0
Montenegro,Bulgaria,0,-6.0,2.0,2.0,1.0,1.0,0.013888888888888888,122.0,122.0,0.006944444444444444,0.006944444444444444,1,0
Lithuania,Serbia,1,119.0,1.0,1.0,0.0,0.0,0.00039123630672926665,35.0,35.0,0.014084507042253521,0.014084507042253521,1,0
Finland,Denmark,1,36.0,-3.0,-3.0,0.0,0.0,-0.009615384615384616,-104.0,-104.0,0.014423076923076924,0.014423076923076924,1,0
Kazakhstan,Northern Ireland,0,40.0,-2.0,-2.0,-3.0,-3.0,-0.03278688524590164,-6.0,-6.0,0.0,0.0,1,0
San Marino,Slovenia,1,147.0,-4.0,-4.0,2.0,2.0,-0.0625,-45.0,-45.0,-0.046875,-0.046875,1,0
Lebanon,India,0,1.0,-1.0,-1.0,0.0,0.0,-0.019721871049304677,43.0,43.0,-0.014285714285714285,-0.014285714285714285,1,0
Thailand,Iraq,1,43.0,0.0,0.0,-1.0,-1.0,-0.00020202020202020332,1.0,1.0,0.019898989898989895,0.019898989898989895,1,0
Dominican Republic,Montserrat,0,-27.0,-3.0,-3.0,0.0,0.0,-0.018072289156626505,-25.0,-25.0,-0.018072289156626505,-0.018072289156626505,1,0
Nicaragua,Barbados,0,-25.0,0.0,0.0,-3.0,-3.0,0.0019847103793002047,-27.0,-27.0,0.019736842105263157,0.019736842105263157,1,0
Myanmar,Nepal,0,-15.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,-0.0005357142857142861,-0.0005357142857142861,0,1
