date,team,score,suf_score,rank,rank_suf,rank_change,total_points,result,rank_dif,points_by_rank,team_points
2023-08-02,Ethiopia,2,0,142.0,168.0,0.0,1074.47,0,-26.0,0.017857142857142856,3
2023-08-27,Bolivia,1,2,83.0,45.0,0.0,1295.09,1,38.0,0.0,0
2023-08-28,Tahiti,9,1,162.0,188.0,0.0,995.11,0,-26.0,0.015957446808510637,3
2023-08-31,Tahiti,3,0,162.0,188.0,0.0,995.11,0,-26.0,0.015957446808510637,3
2023-09-03,Bangladesh,0,0,189.0,157.0,2.9400000000000546,892.44,2,32.0,0.006369426751592357,1
2023-09-03,Guatemala,0,0,107.0,79.0,20.110000000000127,1186.71,2,28.0,0.012658227848101266,1
2023-09-04,Mozambique,3,2,117.0,93.0,-1.599999999999909,1164.25,0,24.0,0.03225806451612903,3
2023-09-06,Macau,0,1,182.0,185.0,0.0,913.68,1,-3.0,0.0,0
2023-09-06,Malta,1,0,171.0,198.0,0.0,972.86,0,-27.0,0.015151515151515152,3
2023-09-06,Oman,2,1,73.0,96.0,0.0,1332.45,0,-23.0,0.03125,3
2023-09-06,Syria,2,2,94.0,136.0,0.0,1241.62,2,-42.0,0.007352941176470588,1
2023-09-06,Libya,1,1,127.0,91.0,0.0,1130.75,2,36.0,0.01098901098901099,1
2023-09-07,Trinidad and Tobago,1,0,102.0,88.0,-3.539999999999964,1199.74,0,14.0,0.03409090909090909,3
2023-09-07,Guatemala,2,0,107.0,75.0,20.110000000000127,1186.71,0,32.0,0.04,3
2023-09-07,Colombia,1,0,17.0,57.0,0.0,1624.91,0,-40.0,0.05263157894736842,3
2023-09-07,Paraguay,0,0,49.0,21.0,0.0,1442.64,2,28.0,0.047619047619047616,1
2023-09-07,Argentina,1,0,1.0,40.0,0.0,1843.73,0,-39.0,0.075,3
2023-09-07,Austria,1,1,29.0,164.0,0.0,1528.06,2,-135.0,0.006097560975609756,1
2023-09-07,Bahrain,1,3,86.0,137.0,0.0,1282.05,1,-51.0,0.0,0
